OBJECTID,NAME_OF_SE,ALT_NAME,STREETNAME,WARD_S,PLANNING_U,LATITUDE,LONGITUDE,REGION,WATER_SUPP,SANITATION,REFUSE,ELECTRIC_2,UNIREFCODE,EST_HHC,NUSP_CAT,SHAPE_Length,SHAPE_Area
331,B22 (Umgwaqo Ongayindawo), ,Clermont Road,22/92,Clermont Emngeni,"-29,7855639393355","30,9132838222502",Western,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0019,103,B1,0.0161911236788262,2.21027046921411e-06
332,Kloof (Fannin Rd), ,Fannin Road,19,Wyebank,"-29,7689899174796","30,8714158276277",Western,TBC,TBC,C&SW contractor,TBC,I0884,277,B2,0.0121344171293427,2.81379247422595e-06
333,Clermont sites, ,P TSHABALALA AVE,92 / 22,Clermont,"-29,8025442759224","30,900382858342",Western,Standpipes,Pit Privies,C&SW contractor,TBC,I0897,185,B1/B2,0.0198672661571213,2.67100097725804e-06
334,Embo Spillover,John Foster,Mkhize Rd,8,Luke Bailes Farm / Mkholombe,"-29,7458061145342","30,7858747217501",Western,Standpipes / Individual Household Connection,Pit Privies,C&SW contractor,TBC,I0896,202,B1,0.0267293905945806,8.77006667338327e-06
335,Bend 2, ,Bend Street,92,Clermont Emngeni,"-29,7880922867672","30,9145439482502",Western,TBC,TBC,C&SW contractor,TBC,I0900,27,B2,0.00614887569900157,5.68617625593513e-07
336,Chola Phansi phase 1 & 2 extension, ,Forth Ave,22,Clermont,"-29,7829528771569","30,8955903970001",Western,TBC,TBC,C&SW contractor,TBC,I0910,42,B2/C,0.00371866158114883,3.44637121721586e-07
337,Chola Phansi phase 1 & 2, ,Forth Ave,22,Clermont,"-29,7826642441689","30,8946709407675",Western,Standpipes,Pit Privies,C&SW contractor,TBC,I0861,59,B2,0.00363265247742767,2.73986320623745e-07
338,Clermont North / KwaDabeka, ,Zazi Rd,19/21/22,Clermont / KwaDabeka,"-29,7782981098091","30,8918242796362",Western,TBC,TBC,C&SW contractor,TBC,I0894,35,B2,0.0206670530373627,2.75655524288522e-06
339,Josilina (Imvuzane) 4 of 4, ,Third Ave / Fourth Street,22,Clermont,"-29,7804649985155","30,8902295180319",Western,TBC,TBC,C&SW contractor,TBC,I0913,21,B2/C,0.0018640324584501,2.11274416921262e-07
340,Josilina (Imvuzane) 3 of 4, ,First Street / Second Street / Third Street / Fourth Ave,22,Clermont,"-29,7810712612438","30,8934302865562",Western,TBC,TBC,C&SW contractor,TBC,I0912,87,B2,0.00495102417238669,1.07461561956541e-06
341,Josilina (Imvuzane) 2 of 4, ,Third Avenue / Zazi Road,22,Clermont,"-29,7804605540929","30,892002490995",Western,TBC,TBC,C&SW contractor,TBC,I0911,23,B2,0.00135487469646155,1.23756022651938e-07
342,Dukezwe, ,33rd Avenue,92,Clermont,"-29,8044085243217","30,89440287875",Western,Ablution Facility Taps,Ablution facility & Pit Privies,C&SW contractor,Yes,I0052,79,B2,0.0099303981296635,1.35098154150772e-06
343,Ezinyosini, ,Thirthy First Avenue,92,Clermont,"-29,8054303805299","30,9043946362501",Western,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0074,354,B1,0.0237810976677745,9.48240786619327e-06
344,Vezunyawo, ,Thirty Third Avenue / P Tshabalala Avenue,92,Clermont,"-29,80066939354","30,9056999338466",Western,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0364,107,B1,0.00502552115578787,1.03265785597436e-06
345,Waterfal 1 (Nqethe), ,Ngwele Road,9/8,Waterfall,"-29,7353118444619","30,8090151455001",Western,TBC,Pit Privies,C&SW contractor,Planned,I0705,157,B2,0.0151422347591058,4.80243582170492e-06
346,Fortieth Ave,Clermont Infill,Forteith Avenue,92,Clermont Umngeni,"-29,7978635256269","30,9104687814767",Western,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0075,48,B1,0.0044918857057958,7.616381680841e-07
347,Gomora, ,Thirthy Third Avenue,92,Clermont Emngeni,"-29,7998903142908","30,9094214224891",Western,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0080,111,B1,0.0114807152454834,1.91783688392854e-06
348,Kwadebeka 1 A, ,Khululeko Road,22/20/92,KwaDabeka,"-29,7843697838078","30,9080782130002",Western,TBC,TBC,C&SW contractor,Yes,I0102,520,B1,0.043914410278534,1.21709818973517e-05
349,"Emapeleni Project / Shayamoya / Amakrosini
",Emapheleni,Thirty Fourth / Eighteenth Avenues,22,Clermont,"-29,7841455286435","30,9021843025001",Western,Ablution Facility Taps & Standpipes,Ablution Facility & Pit Privies,C&SW contractor,Yes,I0061,1558,A,0.0478068924563558,2.10463679436236e-05
350,Ntshingelana Way,Investigate,Uhuru Drive / Ntshingelana Way,92,KwaDabeka,"-29,7829125377267","30,91089446175",Western,TBC,TBC,C&SW contractor,Yes,I0149,122,B1,0.0316234807022396,4.99162225414576e-06
351,N-Fields,Investigate,Themba Cele Place / Intokomalo Road,20,KwaDabeka,"-29,7742482180031","30,9127482540001",Western,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes,I0144,207,B1,0.0372017423164589,8.33625457066031e-06
352,Thirteenth Street, ,Thirteenth Street,21,Clermont,"-29,7964919000564","30,892212441",Western,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0824,30,C,0.00595079936510418,6.36976517237755e-07
353,Twenty Eighth Ave (Emagundaneni/KwaNene), ,Twenty Eight Avenue / P Tshabalala Avenue,92,Clermont,"-29,8038210655611","30,8946520410001",Western,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0204,236,B2,0.0172068547136135,3.12712386406613e-06
354,Zamokuhle,Kloof phase 1A/B overspill,Wyebank Road / Zamokuhle Road,19,Wyebank,"-29,7767627972606","30,86416011125",Western,Standpipes,Pit Privies,C&SW contractor,Yes,I0374,691,B1,0.0613279033864086,1.48308069747088e-05
355,Unit R North (Sub 5), ,Icena Place,19,Wyebank / KwaDabeka,"-29,7685442105646","30,8907504988109",Western,Individual connections,Pit Privies& water borne sew,C&SW contractor,Yes,I0362,24,B1,0.00435944583526278,7.53670040236858e-07
356,Carlifornia/Ekuthuleni/Bhekilanga, ,California Drive,19,Wyebank,"-29,7649071474112","30,8718975985769",Western,Ablution Facility Taps,Ablution Facility & Pit Privies,C&SW contractor,Yes,I0030,163,B1,0.0163379262653191,3.19668407676312e-06
357,Ebasutwini/Enkundleni Enkulu, ,Thirty Fourth Avenue,22,Clermont,"-29,7864892988401","30,9016792877951",Western,TBC,Pit Privies,C&SW contractor,TBC,I0848,65,B2,0.00429644838738052,6.40850691086572e-07
358,KwaNala, ,Kings Road,22,Clermont,"-29,7886015801073","30,8941553244237",Western,Ablution Facility Taps,Ablution Facility,C&SW contractor,Yes_Shared prepaid meter,I0862,21,B2,0.00124944256591959,9.51885279694076e-08
359,Kloof Ext 15 + Exr 21 ph 3, ,First Avenue / Aloe Avenue,19,Wyebank,"-29,7764865357928","30,8894535270016",Western,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0097,885,B1,0.017099954083322,6.57126207852368e-06
360,Emapheleni - eZimbelini,eZimbileni,Thirty FourthAvenues,22,Clermont,"-29,7841455286435","30,9021843025001",Western,Ablution Facility Taps & Standpipes,Ablution Facility & Pit Privies,C&SW contractor,Yes,I0061,379,B1,0.0111003313832695,4.27914163806321e-06
361,Pemary Ridge/ Mpolweni, ,Pemary Ridge,23,Reservoir Hills,"-29,7916631896114","30,9436761247409",Western,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Yes,I0157,160,B1,0.00665316999725135,1.0372468943433e-06
362,Ensimbini Overspill,Nsimbini Overspill,Velawig Avenue / Nubian Avenue,29,Wiggins - Dunbar,"-29,8542552614293","30,9538943882501",Southern,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Planned,I0066,1655,B1,0.0250780275355199,6.45479633976322e-06
363,Constantine Rd,Constantine Rd,Wynebeck / Foreman Rd Ext,25,Clare Hills,"-29,8243705963719","30,9725231675",Northern,TBC,Pit Privies,C&SW contractor,Planned,I0827,673,B2,0.0134145257282688,3.27228415984537e-06
364,Annet Drive,Ezingadini,Annet Drive,23,Reservoir Hills,"-29,7881902227699","30,9318172846614",Western,Ablution Facility Taps & Standpipes,Ablution Facility,C&SW contractor,Planned,I0833,46,B2,0.00287125539632672,3.00919591145239e-07
365,Briardene-Overspill, ,Daffodil Place / Banana Grove,36,Umgeni Park,"-29,8031903886371","31,0145789593683",Northern,Ablution Facility Taps,Ablution Facility,C&SW contractor,Planned,I0026,80,B1,0.00220626306609201,3.01302718223309e-07
366,Foreman Road, ,Foreman Road,25,Clare Hills,"-29,8249655411941","30,9743252235001",Northern,Ablution Facility Taps & 2 Standpipe,Ablution Facility,C&SW contractor,Planned,I0863,1262,B2,0.0108375962398166,2.48095210514175e-06
367,Lacey Road, ,Lacey Road / Randles Road,31,Sydenham,"-29,8317930976676","30,985780989",Northern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Yes,I0524,249,B1,0.007655995161459,1.41078588792305e-06
368,132 Wandbeck rd, ,Wandsbeck Roa,25,Clare Hills,"-29,8214155699309","30,9720585863919",Northern,TBC,Pit Privies,C&SW contractor,TBC,I0885,32,B2,0.00187435710621135,1.90257551980163e-07
369,Indus lane, ,Indus lane / Silver willow road,25,Springfield,"-29,8162532831431","31,0049354010946",Northern,TBC,TBC,C&SW contractor,TBC,I0889,179,B1,0.00377323180357085,6.17576028203087e-07
370,Jadhu Place, ,Jadhu Place,25,Springfield,"-29,8205540475591","31,0013529735396",Northern,"Ablution Facility Taps, 3 standpipes and 2 Washing Basins",Ablution Facility,C&SW contractor,Yes,I0092,590,B1,0.0141490843893638,3.81829262288966e-06
371,Kennedy Road, ,Kennedy Road,25,Clare Hills,"-29,8113704772103","30,9798546858617",Northern,Ablution Facility Taps & 6 Standpipe,Ablution Facility,C&SW contractor,Yes,I0576,2060,B1/C,0.0229992986732371,1.08079921833499e-05
372,Palmiet / Zone 2, ,Palmiet Road,23,Palmiet,"-29,8186586099612","30,9690995091618",Northern,1 Standpipe,Pit privies,C&SW contractor,Yes,I0580,160,B2,0.00385538263097382,6.52588967421423e-07
373,Zone 1 Palmiet, ,Palmiet Road,23,Palmiet,"-29,8209167514523","30,9657879969392",Northern,Ablution Facility Taps & 1 Standpipe,Ablution facility & Pit privies,C&SW contractor,Yes,I0581,795,B2,0.00983978507412245,2.80668981206622e-06
374,L Section Palmiet, ,Palmiet Road,23,Palmiet / Sherwood,"-29,8211997970409","30,9636297292968",Northern,Ablution Facility Taps & 1 Standpipe,Ablution Facility,C&SW contractor,Planned,I0582,255,B2,0.00735989370971606,7.27979405719084e-07
375,Hoffman Place, ,Hoffman Place,25,Springfield,"-29,8251977630417","30,9988401642309",Northern,Ablution Facility Taps & 1 Standpipe,Ablution Facility & flush toilets,C&SW contractor,Planned,I0584,138,B2/C,0.00403889823363529,4.17185921036781e-07
